"id","site_name","street_address","city","state","zipcode","precinct_number","county","lat","lng","gmaps","created_at","updated_at","gotv_t1_count","gotv_t2_count","gotv_t3_count","gotv_supp_count","gotv_total","team_name","organizer_name","region_name"
26,"Alberstons Sunset & Green Valley Parkway","2851 North Green Valley Parkway","Las Vegas","NV","89014",7012,"Clark",36.073197,-115.083286,t,"2012-08-07 18:41:56.641199","2012-08-07 20:06:25.274659",3042,3684,3587,1375,11688,"E72","Mark Jimenez","R09 - East South Las Vegas"
29,"Albertsons Ann & Drexel","7075 West Ann Road","Las Vegas","NV","89130",2705,"Clark",36.2630478,-115.2484893,t,"2012-08-07 18:42:03.852729","2012-08-07 20:07:21.947504",1887,2195,2228,1116,7426,"CN19","Abraham Ramirez","R03 - Central North Las Vegas"
25,"Albertsons Ann & Simmons","3010 West Ann Road","Las Vegas","NV","89031",2383,"Clark",36.261518,-115.1811839,t,"2012-08-07 18:41:54.296847","2012-08-07 20:06:06.620271",4190,4422,4470,1359,14441,"CN12","Danielle Goodman Levy-","R03 - Central North Las Vegas"
12,"Albertsons Blue Diamond and Decatur","4800 Blue Diamond Road","Las Vegas","NV","89139",6715,"Clark",36.0329889,-115.2072492,t,"2012-08-07 18:41:23.358915","2012-08-07 20:27:08.440854",1384,1792,1609,735,5520,"SW26","Gabe Matute","R12 - Southwest Las Vegas"
27,"Albertsons Buffalo & Vegas","1650 North Buffalo Drive","Las Vegas","NV","89128",3765,"Clark",36.1893585,-115.2599673,t,"2012-08-07 18:41:59.024035","2012-08-07 20:06:43.766458",4154,4755,5012,1515,15436,"NW22","Veronica Beebe","R04 - Northwest Las Vegas"
24,"Albertsons Charleston Town Center","10250 West Charleston Blvd","Las Vegas","NV","89135",3374,"Clark",36.160399,-115.319624,t,"2012-08-07 18:41:51.937531","2012-08-07 20:05:47.59965",2172,2895,2538,1609,9214,"NW15","Summerlin FO-03","R05 - Summerlin South"
20,"Albertsons College & Horizon","575 College Drive","Las Vegas","NV","89129",2126,"Clark",36.1960663,-115.0374642,t,"2012-08-07 18:41:42.270933","2012-08-07 20:29:31.361253",2753,2719,2899,660,9031,"E21","Sean Kornegay","R07 - East North Las Vegas"
18,"Albertsons Desert Inn & Pecos","2885 East Desert Inn Road","Las Vegas","NV","89121",5573,"Clark",36.1287,-115.110823,t,"2012-08-07 18:41:37.434091","2012-08-07 20:28:55.190503",4779,5557,5873,1497,17706,"E50","Maria Cortes Sacramento-","R08 - East Central Las Vegas"
21,"Albertsons East Charelston","1760 East Charelston Boulevard","Las Vegas","NV","89104",5536,"Clark",36.1573306,-115.125487,t,"2012-08-07 18:41:44.722722","2012-08-07 20:29:49.706652",4460,5242,5632,1095,16429,"E36","Laura Casas","R08 - East Central Las Vegas"
13,"Albertsons Eastern & Warm Springs","7271 S. Eastern Avenue","Las Vegas","NV","89119",1682,"Clark",36.0582535,-115.1185812,t,"2012-08-07 18:41:25.696977","2012-08-07 20:27:25.312862",2245,2906,2748,1249,9148,"H01","James Dusenberry","R10 - Henderson North"
