Location_Name,Specific Location,Location_Address,Location_City,Location_State,Location_Zip,Location_County,Date,Open,Close
Boulevard Mall,"""East Events Area"" near rear (EAST) Mall Entrance",3528 S. Maryland Pkwy. ,Las Vegas,NV,89149,Clark,10/20/12,10am,8pm
East Las Vegas Community Center,Room 139B,250 North Eastern Avenue,Las Vegas,NV,89101,Clark,10/20/12,10am,6pm
Galleria at Sunset ,"Kohl's Court, 1st Floor ",1300 W. Sunset Rd.,Henderson,NV,89014,Clark,10/20/12,10am,8pm
Las Vegas Athletic Club ,Trailer by Club Entrance ,5200 W. Sahara Ave. ,Las Vegas,NV,89146,Clark,10/20/12,10am,6pm
Las Vegas Premium Outlets South,Customer Service Food Court ,7400 S Las Vegas Blvd,Las Vegas,NV,89123,Clark,10/20/12,10am,7pm
Meadows Mall,"Sears Court, 1st Floor ",4300 Meadows Lane,Las Vegas,NV,89107,Clark,10/20/12,10am,8pm
Windmill Library,,7060 West Windmill Lane,Las Vegas,NV,89113,Clark,10/20/12,10am,6pm
Alberstons Craig & Decatur,,4850 West Craig Road,Las Vegas,NV,89032,Clark,10/20/12,8am,6pm
Albertsons Stephanie & Horizon,,201 South Stephanie Street,Las Vegas,NV,89012,Clark,10/20/12,8am,6pm
Seafood City Supermarket,,3890 South Maryland Parkway,Las Vegas,NV,89109,Clark,10/20/12,8am,6pm
Vons Charleston & Rampart,,820 South Rampart Boulevard,Las Vegas,NV,89145,Clark,10/20/12,8am,6pm
Albertsons Charleston & Bruce,,1760 East Charelston Boulevard,Las Vegas,NV,89104,Clark,10/20/12,9am,7pm
Albertsons College & Horizon,,575 College Drive,Las Vegas,NV,89129,Clark,10/20/12,9am,7pm
Albertsons Flamingo & Durango,,4055 South Durango Drive,Las Vegas,NV,89147,Clark,10/20/12,9am,7pm
Arroyo Market Square,Trailer,7200 Arroyo Crossing Parkway,Las Vegas,NV,89113,Clark,10/20/12,9am,7pm
Buy Low Market,,1061 West Owens Avenue,Las Vegas,NV,89106,Clark,10/20/12,9am,7pm
Centennial Center,Trailer in Parking Lot Near Petco ,5765 Centennial Center Boulevard,Las Vegas,NV,89169,Clark,10/20/12,9am,7pm
Clark County Government Center Regional Transportation Commission (RTC) Bldg.,RTC Council Chambers ,600 S. Grand Central Pkwy. ,Las Vegas,NV,89106,Clark,10/20/12,9am,5pm
Las Vegas Strip Site/Mirage Casino ,"Trailer behind the Mirage Hotel/Casino, Enter at the ""Mirage Entrance #1"" Sign",3400 Las Vegas Blvd. S.,Las Vegas,NV,89109,Clark,10/20/12,9am,7pm
Lone Mountain Plaza,Trailer in Parking Lot,4906 West Lone Mountain Road,Las Vegas,NV,89130,Clark,10/20/12,9am,7pm
Nellis Crossing Shopping Center,Trailer,1300 S Nellis Blvd,Las Vegas,NV,89104,Clark,10/20/12,9am,7pm
Sak n Save Food Store,,1901 Silverada Blvd,Reno,NV,89512,Washoe,10/20/12,9am,6pm
Scolaris Store #18,,3310 S McCarran Blvd,Reno,NV,89502,Washoe,10/20/12,9am,6pm
Scolaris Store #19,,200 Lemmon Drive,Reno,NV,89506,Washoe,10/20/12,9am,6pm
Scolaris Store #20,,8165 S Virginia St,Reno,NV,89511,Washoe,10/20/12,9am,6pm
Scolaris Store #24,,4788 Caughlin Pkwy,Reno,NV,89519,Washoe,10/20/12,9am,6pm
Scolaris Store #26,,1300 Disc Dr,Sparks,NV,89434,Washoe,10/20/12,9am,6pm
Scolaris Store #28,,6255 Sharlands Ave,Reno,NV,89523,Washoe,10/20/12,9am,6pm
Siena Town Center,Trailer,10170 W. Tropicana Ave,Las Vegas,NV,89148,Clark,10/20/12,9am,7pm
Silverado Ranch Plaza, Trailer in Parking Lot by PetSmart,9725 South Eastern Avenue,Las Vegas,NV,89183,Clark,10/20/12,9am,7pm
Vons Las Palmas Village,Trailer,475 East Windmill Lane,Henderson,NV,89123,Clark,10/20/12,9am,7pm
Las Vegas Athletic Club ,Trailer by Club Entrance ,5201 W. Sahara Ave. ,Las Vegas,NV,89146,Clark,10/21/12,10am,6pm
Las Vegas Premium Outlets South,Customer Service Food Court ,7401 S Las Vegas Blvd,Las Vegas,NV,89123,Clark,10/21/12,10am,7pm
Windmill Library,,7060 West Windmill Lane,Las Vegas,NV,89113,Clark,10/21/12,10am,6pm
Boulevard Mall,"""East Events Area"" near rear (EAST) Mall Entrance",3529 S. Maryland Pkwy. ,Las Vegas,NV,89149,Clark,10/21/12,11am,6pm
Galleria at Sunset ,"Kohl's Court, 1st Floor ",1301 W. Sunset Rd.,Henderson,NV,89014,Clark,10/21/12,11am,6pm
Meadows Mall,"Sears Court, 1st Floor ",4301 Meadows Lane,Las Vegas,NV,89107,Clark,10/21/12,11am,6pm
Alberstons Craig & Decatur,,4850 West Craig Road,Las Vegas,NV,89032,Clark,10/21/12,8am,6pm
Alberstons Craig & Decatur,,4850 West Craig Road,Las Vegas,NV,89032,Clark,10/21/12,8am,6pm
Albertsons Stephanie & Horizon,,201 South Stephanie Street,Las Vegas,NV,89012,Clark,10/21/12,8am,6pm
Seafood City Supermarket,,3890 South Maryland Parkway,Las Vegas,NV,89109,Clark,10/21/12,8am,6pm
Vons Charleston & Rampart,,820 South Rampart Boulevard,Las Vegas,NV,89145,Clark,10/21/12,8am,6pm
Albertsons Charleston & Bruce,,1760 East Charelston Boulevard,Las Vegas,NV,89104,Clark,10/21/12,9am,7pm
Albertsons College & Horizon,,575 College Drive,Las Vegas,NV,89129,Clark,10/21/12,9am,7pm
Albertsons Flamingo & Durango,,4055 South Durango Drive,Las Vegas,NV,89147,Clark,10/21/12,9am,7pm
Arroyo Market Square,Trailer,7200 Arroyo Crossing Parkway,Las Vegas,NV,89113,Clark,10/21/12,9am,7pm
Buy Low Market,,1061 West Owens Avenue,Las Vegas,NV,89106,Clark,10/21/12,9am,7pm
Centennial Center,Trailer in Parking Lot Near Petco ,5766 Centennial Center Boulevard,Las Vegas,NV,89169,Clark,10/21/12,9am,7pm
Las Vegas Strip Site/Mirage Casino ,"Trailer behind the Mirage Hotel/Casino, Enter at the ""Mirage Entrance #1"" Sign",3401 Las Vegas Blvd. S.,Las Vegas,NV,89109,Clark,10/21/12,9am,7pm
Lone Mountain Plaza,Trailer in Parking Lot,4907 West Lone Mountain Road,Las Vegas,NV,89130,Clark,10/21/12,9am,7pm
Nellis Crossing Shopping Center,Trailer,1300 S Nellis Blvd,Las Vegas,NV,89104,Clark,10/21/12,9am,7pm
Sak n Save Food Store,,1902 Silverada Blvd,Reno,NV,89513,Washoe,10/21/12,9am,6pm
Scolaris Store #18,,3311 S McCarran Blvd,Reno,NV,89503,Washoe,10/21/12,9am,6pm
Scolaris Store #19,,201 Lemmon Drive,Reno,NV,89507,Washoe,10/21/12,9am,6pm
Scolaris Store #20,,8166 S Virginia St,Reno,NV,89512,Washoe,10/21/12,9am,6pm
Scolaris Store #24,,4789 Caughlin Pkwy,Reno,NV,89520,Washoe,10/21/12,9am,6pm
Scolaris Store #26,,1301 Disc Dr,Sparks,NV,89435,Washoe,10/21/12,9am,6pm
Scolaris Store #28,,6256 Sharlands Ave,Reno,NV,89524,Washoe,10/21/12,9am,6pm
Siena Town Center,Trailer,10170 W. Tropicana Ave,Las Vegas,NV,89148,Clark,10/21/12,9am,7pm
Silverado Ranch Plaza, Trailer in Parking Lot by PetSmart,9726 South Eastern Avenue,Las Vegas,NV,89183,Clark,10/21/12,9am,7pm
Vons Las Palmas Village,Trailer,475 East Windmill Lane,Henderson,NV,89123,Clark,10/21/12,9am,7pm
Aliante Library,,2400 W Deer Springs Way,North Las Vegas,NV,89084,Clark,10/22/12,10:30am,8pm
Boulevard Mall,"""East Events Area"" near rear (EAST) Mall Entrance",3530 S. Maryland Pkwy. ,Las Vegas,NV,89149,Clark,10/22/12,10am,8pm
Clark County Library,,1401 East Flamingo Road,Las Vegas,NV,89119,Clark,10/22/12,10am,7pm
Galleria at Sunset ,"Kohl's Court, 1st Floor ",1302 W. Sunset Rd.,Henderson,NV,89014,Clark,10/22/12,10am,8pm
Las Vegas Premium Outlets South,Customer Service Food Court ,7402 S Las Vegas Blvd,Las Vegas,NV,89123,Clark,10/22/12,10am,7pm
Meadows Mall,"Sears Court, 1st Floor ",4302 Meadows Lane,Las Vegas,NV,89107,Clark,10/22/12,10am,8pm
West Charleston Library,,6301 West Charleston Boulevard,Las Vegas,NV,89146,Clark,10/22/12,10am,7pm
West Flamingo Senior Center,,6255 West Flamingo Road,Las Vegas,NV,89103,Clark,10/22/12,8:30am,5:30pm
Clark County Government Center Regional Transportation Commission (RTC) Bldg.,RTC Council Chambers ,602 S. Grand Central Pkwy. ,Las Vegas,NV,89106,Clark,10/22/12,8am,6pm
Las Vegas Athletic Club ,Trailer by Club Entrance ,5202 W. Sahara Ave. ,Las Vegas,NV,89146,Clark,10/22/12,8am,6pm
Solera Anthem Community Center,,2401 Somersworth Dr,Henderson,NV,89044,Clark,10/22/12,8am,6pm
Vons Charleston & Rampart,,820 South Rampart Boulevard,Las Vegas,NV,89145,Clark,10/22/12,8am,6pm
Vons Las Palmas Village,Trailer,475 East Windmill Lane,Henderson,NV,89123,Clark,10/22/12,8am,6pm
Albertsons College & Horizon,,575 College Drive,Las Vegas,NV,89129,Clark,10/22/12,9am,7pm
Arroyo Market Square,,7200 Arroyo Crossing Parkway,Las Vegas,NV,89113,Clark,10/22/12,9am,7pm
Centennial Center,Trailer in Parking Lot Near Petco ,5767 Centennial Center Boulevard,Las Vegas,NV,89169,Clark,10/22/12,9am,7pm
East Las Vegas Community Center,Room 139B,252 North Eastern Avenue,Las Vegas,NV,89101,Clark,10/22/12,9am,6pm
Las Vegas Strip Site/Mirage Casino ,"Trailer behind the Mirage Hotel/Casino, Enter at the ""Mirage Entrance #1"" Sign",3402 Las Vegas Blvd. S.,Las Vegas,NV,89109,Clark,10/22/12,9am,7pm
Lone Mountain Plaza,Trailer in Parking Lot,4908 West Lone Mountain Road,Las Vegas,NV,89130,Clark,10/22/12,9am,7pm
