Location_Name,Location_Address,Location_City,Location_State,Location_Zip,Location_County,,,,
Boulevard Mall,3528 S. Maryland Pkwy. ,Las Vegas,NV,89149,Clark,,,,
Centennial Center,5765 Centennial Center Boulevard,Las Vegas,NV,89169,Clark,,,,
Clark County Government Center,600 S. Grand Central Pkwy. ,Las Vegas,NV,89106,Clark,,,,
Dr. William U. Pearson Community Center,1625 W Carey Ave,Las Vegas,NV,89032,Clark,,,,
Doolittle Community Center,1950 J St,Las Vegas,NV,89106,Clark,,,,
East Las Vegas Community Center,250 North Eastern Avenue,Henderson,NV,89101,Clark,,,,
Galleria at Sunset ,1300 W. Sunset Rd.,Las Vegas,NV,89119,Clark,,,,
Las Vegas Premium Outlets,7400 S Las Vegas Blvd,Las Vegas,NV,89123,Clark,,,,
"Lone Mountain Plaza, Parking Lot (Trailer)",4906 West Lone Mountain Road,Las Vegas,NV,89130,Clark,,,,
Meadows Mall,4300 Meadows Lane,Las Vegas,NV,89107,Clark,,,,
"Silverado Ranch Plaza, Parking Lot by PetSmart (Trailer)",9725 South Eastern Avenue,Las Vegas,NV,89183,Clark,,,,
Albertsons Blue Diamond and Decatur,4800 Blue Diamond Road,Las Vegas,NV,89139,Clark,,,,
Albertsons Eastern & Warm Springs,7271 S. Eastern Avenue,Las Vegas,NV,89119,Clark,,,,
Albertsons Tropicana & Jones,5975 W. Tropicana Avenue,Las Vegas,NV,89103,Clark,,,,
Albertsons Tenaya & Craig,7151 West Craig Road,Las Vegas,NV,89129,Clark,,,,
Albertsons El Capitan & Farm,8410 Farm Road,Las Vegas,NV,89131,Clark,,,,
Albertsons Horizon Ridge,2650 West Horizon Ridge,Las Vegas,NV,89052,Clark,,,,
Albertsons Desert Inn & Pecos,2885 East Desert Inn Road,Las Vegas,NV,89121,,,,,
Albertsons Lake Mead,6885 E Lake Mead Blvd,Las Vegas,NV,89156,Clark,,,,
Albertsons College & Horizon,575 College Drive,Las Vegas,NV,89129,Clark,,,,
Albertsons East Charelston,1760 East Charelston Boulevard,Las Vegas,NV,89104,Clark,,,,
Albertsons Flamingo & Hualapai,10140 West Flamingo Road,Las Vegas,NV,89147,,,,,
Albertsons Flamingo & Durango,4055 South Durango Drive,Las Vegas,NV,89147,Clark,,,,
Albertsons Charleston Town Center,10250 West Charleston Blvd,Las Vegas,NV,89135,Clark,,,,
Albertsons Ann & Simmons,3010 West Ann Road,Las Vegas,NV,89031,,,,,
Alberstons Sunset & Green Valley Parkway,2851 North Green Valley Parkway,Las Vegas,NV,89014,,,,,
Albertsons Buffalo & Vegas,1650 North Buffalo Drive,Las Vegas,NV,89128,,,,,
Albertsons Vegas Valley & Nellis,2835 S. Nellis Bl.,Las Vegas,NV,89121,,,,,
Albertsons Ann & Drexel,7075 West Ann Road,Las Vegas,NV,89130,Clark,,,,
Chinatown Mall/Plaza,4255 West Spring Mountain Road,Las Vegas,NV,89102,Clark,,,,
Lowe's Home Improvement,2570 E Craig Rd,Las Vegas,NV,89030,Clark,,,,
Renaissance III Shopping Ctr. ,3300 East Flamingo Road,Las Vegas,NV,89121,Clark,,,,
Vons - Trails Village Ctr. ,1970 Village Center Circle,Las Vegas,NV,89134,Clark,,,,
Arroyo Market Square,7200 Arroyo Crossing Parkway,Las Vegas,NV,89113,Clark,,,,
Nellis Crossing Shopping Center,1300 S Nellis Blvd,Las Vegas,NV,89104,Clark,,,,
Seafood City Supermarket,3890 South Maryland Parkway,Las Vegas,NV,89109,Clark,,,,
Siena Town Center,10170 W. Tropicana Ave,Las Vegas,NV,89148,Clark,,,,
Sunrise Library,5400 Harris Ave,Las Vegas,NV,89110,Clark,,,,
Vons Charleston & Rampart,820 South Rampart Boulevard,Las Vegas,NV,89145,Clark,,,,
Windmill Library,7060 West Windmill Lane,Las Vegas,NV,89113,Clark,,,,
Lakes Lutheran Church,8200 West Sahara Avenue,Las Vegas,NV,89117,Clark,,,,
Solera Anthem Community Center,2401 Somersworth Dr,Henderson,NV,89044,Clark,,,,
Vons Windmill Parkway,2667 Windmill Parkway,Henderson,NV,89014,Clark,,,,
Vons Windmill Lane/Las Palmas Village,475 East Windmill Lane,Henderson,NV,89123,Clark,,,,
Alexander Library,1755 West Alexander Road,North Las Vegas,NV,89032,Clark,,,,
Food 4 Less East Bonanza,3602 East Bonanza Road,Las Vegas,NV,89110,Clark,,,,
Food 4 Less North Nellis,1955 North Nellis Boulevard,Las Vegas,NV,89115,Clark,,,,
Paseo Verde Library,280 South Green Valley Parkway,Henderson,NV,89012,Clark,,,,
Silver Mesa Recreation Center,4025 Allen Ln,North Las Vegas,NV,89032,Clark,,,,
Southern Highlands Marketplace,10600 Southern Highlands Parkway,Las Vegas,NV,89141,Clark,,,,
UNLV Lied Library,4505 South Maryland Parkway,Las Vegas,NV,89154,Clark,,,,
North Las Vegas City Hall,2250 Las Vegas Boulevard North,North Las Vegas,NV,89030,Clark,,,,
Pecos Plaza ,3375 East Tropicana Avenue,Las Vegas,NV,89121,Clark,,,,
Sahara West Library,9600 West Sahara Avenue,Las Vegas,NV,89117,Clark,,,,
Searchlight Community Center,200 Michael Wendell Way,Searchlight,NV,89046,Clark,,,,
Spirit Mountain Activity Center,1975 Arie,Laughlin,NV,89029,Clark,,,,
Whitney Library,5175 East Tropicana Avenue,Las Vegas,NV,89122,Clark,,,,
Winchester Cultural Center,3130 McLeod Drive,Las Vegas,NV,89121,Clark,,,,
Aliante Library,2400 W Deer Springs Way,North Las Vegas,NV,89084,Clark,,,,
West Charleston Library,6301 West Charleston Boulevard,Las Vegas,NV,89146,Clark,,,,
West Flamingo Senior Center,6255 West Flamingo Road,Las Vegas,NV,89103,Clark,,,,
Sun City Anthem Community Center,2450 Hampton Rd,Henderson,NV,89052,Clark,,,,
Vons Rhode Ranch Town Center,7405 S. Durango Dr.,Las Vegas,NV,89113,Clark,,,,
Boulder City Hall,401 California Avenue,Boulder City,NV,89005,Clark,,,,
Desert Vista Community Center,10360 Sun City Blvd,Sun City,NV,89134,Clark,,,,
Moapa Valley Community Center.,320 N Moapa Valley Blvd,Moapa Valley,NV,89040,Clark,,,,
Nevada State College,1125 Nevada State Drive,Henderson,NV,89002,Clark,,,,
Rainbow Library,3150 North Buffalo Drive,Las Vegas,NV,89128,Clark,,,,
Skyview YMCA,3050 E. Centennial Pkwy,North Las Vegas,NV,89801,Clark,,,,
Sun City Aliante Community Center,7390 Aliante Pkwy,North Las Vegas,NV,89084,Clark,,,,
Whole Foods Marketplace ,7290 W Lake Mead Blvd,Las Vegas,NV,89128,Clark,,,,
Mesquite Community Senior Center,102 W Old Mill Rd,Mesquite,NV,89027,Clark,,,,
Cardenas Market,4421 East Bonanza Road,Las Vegas,NV,89110,Clark,,,,
"College of Southern NV, Henderson",700 College Drive,Henderson,NV,89002,Clark,,,,
"College of Southern NV, Cheyenne",3200 East Cheyenne Avenue,North Las Vegas,NV,89030,Clark,,,,
Desert Willow Community Center,2020 W. Horizon Ridge ,Henderson,NV,89012,Clark,,,,
Henderson City Hall,240 South Water Street,Henderson,NV,89015,Clark,,,,
Desert Breeze Community Center,8275 Spring Mountain Road,Las Vegas,NV,89117,Clark,,,,
Hollywood Recreation Center,1650 South Hollywood Boulevard,Las Vegas,NV,89142,Clark,,,,
Incline Village Library,845 Alder Ave ,Incline Village ,NV,89451,Washoe,,,,
Legends at Sparks Marina ,1310 Scheels Dr,Sparks ,NV,89434,Washoe,,,,
Northwest Library,2325 Robb Dr,Reno,NV,89523,Washoe,,,,
Registrar of Voters Office,1001 E 9th St # A135,Reno,NV,89501,Washoe,,,,
Reno (downtown) Library,301 S Center St,Reno,NV,89501,Washoe,,,,
Reno/Sparks Assoc of Realtors,5650 Riggins Ct Ste 200,Reno,NV,89502,Washoe,,,,
Reno Town Mall,4001 S. Virginia St,Reno,NV,89502,Washoe,,,,
Sak n Save Food Store,1901 Silverada Blvd,Reno,NV,89512,Washoe,,,,
Scolaris Store #18,3310 S McCarran Blvd,Reno,NV,89502,Washoe,,,,
Scolaris Store #19,200 Lemmon Drive,Reno,NV,89506,Washoe,,,,
Scolaris Store #20,8165 S Virginia St,Reno,NV,89511,Washoe,,,,
Scolaris Store #24,4788 Caughlin Pkwy,Reno,NV,89519,Washoe,,,,
Scolaris Store #26,1300 Disc Dr,Sparks,NV,89434,Washoe,,,,
Scolaris Store #28,6255 Sharlands Ave,Reno,NV,89523,Washoe,,,,
Shopper’s Square,277 E Plumb Ln,Reno,NV,89502,Washoe,,,,
South Valleys Library,15650A Wedge Pkwy,Reno,NV,89511,Washoe,,,,
Spanish Springs Library,7100A Pyramid Lake Hwy,Sparks,NV,89436,Washoe,,,,
Sparks City Hall,431 Prater Way,Sparks ,NV,89431,Washoe,,,,
Sparks Library,1125 12th Street Sparks,Sparks,NV,89431,Washoe,,,,
Sun Valley Neighborhood Center,115 W. 6th St,Sun Valley,NV,89433,Washoe,,,,
"University of Nevada, Student Union",1664 North Virginia Street,Reno,NV,89557,Washoe,,,,
TMCC,7000 Dandini Blvd ,Reno,NV,89512,Washoe,,,,
