Polling Place ID,POLL_NAME,ADDRESS,CITY,STATE,ZIP,PRECINCT
304,ADVENT UNITED METHODIST CHURCH,3460 N RANCHO DR,LAS VEGAS,NV,89130,2037
304,ADVENT UNITED METHODIST CHURCH,3460 N RANCHO DR,LAS VEGAS,NV,89130,2044
304,ADVENT UNITED METHODIST CHURCH,3460 N RANCHO DR,LAS VEGAS,NV,89130,2709
304,ADVENT UNITED METHODIST CHURCH,3460 N RANCHO DR,LAS VEGAS,NV,89130,2710
396,"ALAMO, TONY ELEMENTARY",7455 EL CAMINO RD,LAS VEGAS,NV,89139,1318
396,"ALAMO, TONY ELEMENTARY",7455 EL CAMINO RD,LAS VEGAS,NV,89139,1327
396,"ALAMO, TONY ELEMENTARY",7455 EL CAMINO RD,LAS VEGAS,NV,89139,1651
3,"ALLEN, DEAN ELEMENTARY",8680 W HAMMER LN,LAS VEGAS,NV,89149,3464
3,"ALLEN, DEAN ELEMENTARY",8680 W HAMMER LN,LAS VEGAS,NV,89149,3465
3,"ALLEN, DEAN ELEMENTARY",8680 W HAMMER LN,LAS VEGAS,NV,89149,3711
3,"ALLEN, DEAN ELEMENTARY",8680 W HAMMER LN,LAS VEGAS,NV,89149,3718
4,"ANTONELLO, LEE ELEMENTARY",1101 W TROPICAL PKWY,NORTH LAS VEGAS,NV,89031,2390
4,"ANTONELLO, LEE ELEMENTARY",1101 W TROPICAL PKWY,NORTH LAS VEGAS,NV,89031,2392
436,ARBOR VIEW HIGH SCHOOL,7500 WHISPERING SANDS DR,LAS VEGAS,NV,89131,2621
436,ARBOR VIEW HIGH SCHOOL,7500 WHISPERING SANDS DR,LAS VEGAS,NV,89131,2622
436,ARBOR VIEW HIGH SCHOOL,7500 WHISPERING SANDS DR,LAS VEGAS,NV,89131,2635
436,ARBOR VIEW HIGH SCHOOL,7500 WHISPERING SANDS DR,LAS VEGAS,NV,89131,2642
436,ARBOR VIEW HIGH SCHOOL,7500 WHISPERING SANDS DR,LAS VEGAS,NV,89131,2643
436,ARBOR VIEW HIGH SCHOOL,7500 WHISPERING SANDS DR,LAS VEGAS,NV,89131,2645
459,"BAILEY, SISTER ROBERT JOSEPH ELEM",4525 JIMMY DURANTE BLVD,LAS VEGAS,NV,89122,5393
459,"BAILEY, SISTER ROBERT JOSEPH ELEM",4525 JIMMY DURANTE BLVD,LAS VEGAS,NV,89122,5397
459,"BAILEY, SISTER ROBERT JOSEPH ELEM",4525 JIMMY DURANTE BLVD,LAS VEGAS,NV,89122,7513
443,"BAILEY, WILLIAM H MIDDLE SCHOOL",2500 N HOLLYWOOD BLVD,LAS VEGAS,NV,89156,2735
443,"BAILEY, WILLIAM H MIDDLE SCHOOL",2500 N HOLLYWOOD BLVD,LAS VEGAS,NV,89156,2742
443,"BAILEY, WILLIAM H MIDDLE SCHOOL",2500 N HOLLYWOOD BLVD,LAS VEGAS,NV,89156,2743
443,"BAILEY, WILLIAM H MIDDLE SCHOOL",2500 N HOLLYWOOD BLVD,LAS VEGAS,NV,89156,2746
379,BASIC HIGH SCHOOL,400 PALO VERDE DR,HENDERSON,NV,89015,7573
379,BASIC HIGH SCHOOL,400 PALO VERDE DR,HENDERSON,NV,89015,7574
379,BASIC HIGH SCHOOL,400 PALO VERDE DR,HENDERSON,NV,89015,7575
379,BASIC HIGH SCHOOL,400 PALO VERDE DR,HENDERSON,NV,89015,7582
383,"BASS, JOHN ELEMENTARY",10377 RANCHO DESTINO RD,LAS VEGAS,NV,89123,1349
