organizationid,organization name,address,zip5,zip4
697,Small World Learning Center,10 N 28th St,89101,4600
681,monterrey market,1000 E Charleston Blvd Ste 100,89104,1560
2108,Esmeralda's Cafe,1000 E Charleston Blvd Ste 101,89104,1560
1509,Iglesia Cristiana Voz de Salvacion Galilee Southern Baptist Church,1000 E Saint Louis Ave,89104,3211
1530,Trinity Life Center,1000 E Saint Louis Ave,89104,3211
842,Impress Cleaners,1000 N Green Valley Pkwy,89074,6170
1011,LuLu's Doggy Salon & Spa,1000 N Green Valley Pkwy,89074,6170
1008,Star Smoke & Gifts,1000 N Green Valley Pkwy,89074,6170
719,Kids Kloset,1000 N Green Valley Pkwy Ste 200,89074,6171
936,Hair Unlimited,1000 N Martin L King Blvd,89106,2867
939,Pasz II Accessories,1000 N Martin L King Blvd,89106,2867
937,Bishop Fragrance,1000 N Martin L King Blvd Ste A,89106,2866
931,Urban Source,1000 N Martin L King Blvd Ste B,89106,2866
932,Studio 702 Hair and Nail Gallery,1000 N Mlk Boulevard And E Suite D,89106,    
866,Jr. Tile,1000 N Nellis Blvd Ste H,89110,5318
909,Lao-Thai Kitchen,1000 N Nellis Blvd Ste I,89110,5318
829,La Pupusa Loca,1000 N Nellis Blvd Ste M,89110,5318
912,Sound & System Cars,1000 N Nellis Blvd Ste Q,89110,5318
2043,Mail Boxes & More,1000 N Nellis Blvd Ste S,89110,5318
881,Mailboxes & More,1000 N Nellis Blvd Ste S,89110,5318
880,Iron Workers Tool,1000 N Nellis Blvd Ste T,89110,5318
676,clothing Alterations,1002 E Charleston Blvd,89104,1514
687,speak easy liquor,1002 E Charleston Blvd,89104,1514
1497,Iglesia Cristiana Unida Latina,1005 Pearl Ave,89104,4635
1507,First Christian Church,101 S Rancho Dr,89106,4843
677,Eleganza Bridal Shop,1014 E Charleston Blvd Ste 100,89104,1567
1162,Off the Edge llc,1020 E Desert Inn Rd,89109,2809
2086,Servicio Automotriz,1021 E Charleston Blvd,89104,1548
1263,Shoe,104 California Ave,89509,1619
1262,Freeman's Hot Dogs,106 California Ave,89509,1619
2096,Ashley's Beauty Salon,108 E Grove St,89502,3706
982,Haven on Earth,10855 Double R Blvd,89521,5857
1120,Super Taqueria Mexico,10855 Double R Blvd Ste F,89521,8947
1157,Restaurant y Carnitas Uruapan,11 N Mojave Rd,89101,4801
1032,Gladys Southern Cooking,1100 N Martin L King Blvd,89106,2853
1031,M&M Chicken and Waffles,1100 N Martin L King Blvd,89106,2853
926,Genesis Beauty Salon,1100 N Martin L King Blvd Ste A,89106,2853
927,Jimmy's Market,1100 N Martin L King Blvd Ste C,89106,2853
